Sent Date,Menu Item,Menu Group,Menu,Sales Category,Net Price,Qty,Void?
9/29/25 3:46 PM,DIET COKE,SOFT DRINKS,Beverage,,4.00,1.0,false
9/29/25 3:46 PM,DIET COKE,SOFT DRINKS,Beverage,,4.00,1.0,false
9/29/25 3:48 PM,CALIFORNIA,TRADITIONAL ROLLS,Food,Food,14.00,1.0,false
9/29/25 3:48 PM,BUTTER TRUFFLE CRAB ROLL,SPECIAL COLD ROLLS,Food,Food,20.00,1.0,false
9/29/25 3:50 PM,TITOS LYCHEE MARTINI,CRAFT COCKTAILS,Beverage,,10.00,1.0,false
9/29/25 4:05 PM,CALIFORNIA,TRADITIONAL ROLLS,Food,Food,14.00,1.0,false
9/29/25 4:11 PM,CORTADITO,COFFEE,Beverage,,4.00,1.0,false
9/29/25 4:11 PM,CORTADITO,COFFEE,Beverage,,4.00,1.0,false
9/29/25 4:21 PM,ESPRESSO,COFFEE,Beverage,,3.00,1.0,false
9/29/25 4:37 PM,CALIFORNIA SPECIAL,SPECIAL COLD ROLLS,FOOD,Food,40.12,2.0,false
9/29/25 4:37 PM,MISO SOUP,SOUPS,FOOD,Food,11.80,1.0,false
9/29/25 4:50 PM,TITOS LYCHEE MARTINI,CRAFT COCKTAILS,Beverage,,20.00,2.0,false
9/29/25 4:50 PM,zacapa,Rum,Beverage,Liquor,16.00,1.0,false
9/29/25 5:24 PM,BUTTER TRUFFLE CRAB ROLL,SPECIAL COLD ROLLS,Food,Food,20.00,1.0,false
9/29/25 5:41 PM,CLUB SODA,SOFT DRINKS,Beverage,,4.00,1.0,false
9/29/25 5:47 PM,CORTADITO,COFFEE,Beverage,,8.00,1.0,false
9/29/25 6:03 PM,TONI DOKI,COLD STARTERS,FOOD,Food,24.00,1.0,false
9/29/25 6:03 PM,TEKKA MAKI,TRADITIONAL ROLLS,FOOD,Food,15.00,1.0,false
9/29/25 6:03 PM,zacapa,Rum,Beverage,Liquor,16.00,1.0,false
9/29/25 6:08 PM,HAMACHI JALAPENO,COLD STARTERS,Food,Food,24.00,1.0,false
9/29/25 6:10 PM,SAV BLANC GLASS,WHITE GLASS,Beverage,Wine,11.00,1.0,false
9/29/25 6:10 PM,DIET COKE,SOFT DRINKS,Beverage,,4.00,1.0,false
9/29/25 6:12 PM,EDAMAME,SALADS,Food,Food,9.00,1.0,false
9/29/25 6:14 PM,LEMONADE,SOFT DRINKS,Beverage,,4.00,1.0,false
9/29/25 6:17 PM,TUNA FOIE,HOT STARTERS,Food,Food,18.00,1.0,false
9/29/25 6:17 PM,BEEF TENDERLOIN RAMEN,SOUPS,Food,Food,25.00,1.0,false
9/29/25 6:17 PM,EEL SPECIAL,SPECIAL COLD ROLLS,Food,Food,21.00,1.0,false
9/29/25 6:19 PM,TOKYO,SPECIAL ROLLS,Food,Food,20.00,1.0,false
9/29/25 6:23 PM,KANEBI,SPECIAL COLD ROLLS,Food,Food,20.00,1.0,false
9/29/25 6:23 PM,KANI SEAWEED SALAD,SALADS,Food,Food,20.00,1.0,false
9/29/25 6:25 PM,HAMACHI JALAPENO,COLD STARTERS,Food,Food,24.00,1.0,false
9/29/25 6:30 PM,FRIED RICE,SIDES,Food,Food,16.00,1.0,false
9/29/25 6:34 PM,SAV BLANC GLASS,WHITE GLASS,Beverage,Wine,11.00,1.0,false
9/29/25 6:35 PM,DINNER,MIAMI SPICE 2025,Food,Food,60.00,1.0,false
9/29/25 6:35 PM,HOT TEA,COFFEE,Beverage,,8.00,1.0,false
9/29/25 6:37 PM,EDAMAME,SALADS,Food,Food,9.00,1.0,false
9/29/25 6:51 PM,SPICY TUNA,SPECIAL COLD ROLLS,FOOD,Food,19.00,1.0,false
9/29/25 6:51 PM,EBI ZU,SPECIAL COLD ROLLS,FOOD,Food,19.00,1.0,false
9/29/25 6:51 PM,TUNA FOIE,HOT STARTERS,Food,Food,18.00,1.0,false
9/29/25 6:52 PM,TARTA VASCA,DESSERTS,Food,Food,19.00,1.0,false
9/29/25 6:53 PM,BONSAI SUSHI 12 PIECES,SPECIAL COMBINATIONS,Food,Food,35.00,1.0,false
9/29/25 6:53 PM,MAKI TARTARE,COLD STARTERS,Food,Food,23.00,1.0,false
9/29/25 6:56 PM,SAV BLANC GLASS,WHITE GLASS,Beverage,Wine,11.00,1.0,false
9/29/25 6:56 PM,SAV BLANC GLASS,WHITE GLASS,Beverage,Wine,11.00,1.0,false
9/29/25 7:02 PM,EBI ZU,SPECIAL COLD ROLLS,Food,Food,19.00,1.0,false
9/29/25 7:02 PM,KANI KIURI MAKI,SPECIAL COLD ROLLS,Food,Food,19.00,1.0,false
9/29/25 7:02 PM,NUBORI,SPECIAL COLD ROLLS,Food,Food,25.00,1.0,false
9/29/25 7:02 PM,NEGUI HAMA,SIGNATURE NIGIRI,Food,Food,9.00,1.0,false
9/29/25 7:02 PM,NEGUI HAMA,SIGNATURE NIGIRI,Food,Food,9.00,1.0,false
9/29/25 7:04 PM,HAMACHI JALAPENO,COLD STARTERS,Food,Food,24.00,1.0,false
9/29/25 7:04 PM,MAKI TARTARE,COLD STARTERS,Food,Food,23.00,1.0,false
9/29/25 7:04 PM,Hendricks,Gin,Beverage,Liquor,16.00,1.0,false
9/29/25 7:04 PM,ALBARINO GLASS,WHITE GLASS,Beverage,Wine,12.00,1.0,false
9/29/25 7:04 PM,ALBARINO GLASS,WHITE GLASS,Beverage,Wine,12.00,1.0,false
9/29/25 7:12 PM,GINGER,EXTRAS,FOOD,Food,0.58,1.0,false
9/29/25 7:12 PM,PONZU SAUCE,EXTRAS,FOOD,Food,1.17,1.0,false
9/29/25 7:12 PM,SAKE SUSHI,NIGIRI,FOOD,Food,32.76,4.0,false
9/29/25 7:12 PM,BUTTER TRUFFLE CRAB ROLL,SPECIAL COLD ROLLS,FOOD,Food,23.40,1.0,false
9/29/25 7:12 PM,DINNER,MIAMI SPICE 2025,Food,Food,60.00,1.0,false
9/29/25 7:12 PM,DINNER,MIAMI SPICE 2025,Food,Food,60.00,1.0,false
9/29/25 7:40 PM,CALIFORNIA,TRADITIONAL ROLLS,Food,Food,14.00,1.0,false
9/29/25 7:42 PM,CEVICHIMI,SPECIAL ROLLS,Food,Food,23.00,1.0,false
9/29/25 7:42 PM,NUBORI,SPECIAL COLD ROLLS,Food,Food,25.00,1.0,false
9/29/25 7:42 PM,HAMACHI JALAPENO,COLD STARTERS,Food,Food,24.00,1.0,false
9/29/25 7:42 PM,ALBARINO GLASS,WHITE GLASS,Beverage,Wine,12.00,1.0,false
9/29/25 7:42 PM,SAV BLANC GLASS,WHITE GLASS,Beverage,Wine,11.00,1.0,false
9/29/25 7:42 PM,AKAI GIN,HOUSE COCKTAILS,Beverage,Liquor,16.00,1.0,false
9/29/25 7:42 PM,SPRITE,SOFT DRINKS,Beverage,,4.00,1.0,false
9/29/25 7:42 PM,MALBEC GLASS,RED GLASS,Beverage,,14.00,1.0,false
9/29/25 7:42 PM,NOE TATAKI,COLD STARTERS,Food,Food,29.00,1.0,false
9/29/25 7:42 PM,HAMACHI JALAPENO,COLD STARTERS,Food,Food,24.00,1.0,false
9/29/25 7:42 PM,TUNA TARTARE,COLD STARTERS,Food,Food,26.00,1.0,false
9/29/25 7:42 PM,TRUFFLED DUMPLINGS,HOT STARTERS,Food,Food,19.00,1.0,false
9/29/25 7:42 PM,TRUFFLED DUMPLINGS,HOT STARTERS,Food,Food,19.00,1.0,false
9/29/25 7:42 PM,KANI SEAWEED SALAD,SALADS,Food,Food,20.00,1.0,false
9/29/25 7:42 PM,MAKI TARTARE,COLD STARTERS,Food,Food,23.00,1.0,false
9/29/25 7:45 PM,SPRITE,SOFT DRINKS,Beverage,,4.00,1.0,false
9/29/25 7:57 PM,NOE SPECIAL,SPECIAL ROLLS,Food,Food,23.00,1.0,false
9/29/25 7:57 PM,BUTTER TRUFFLE CRAB ROLL,SPECIAL COLD ROLLS,Food,Food,20.00,1.0,false
9/29/25 7:57 PM,GUAYAS,SPECIAL ROLLS,Food,Food,20.00,1.0,false
9/29/25 7:57 PM,FIRE ROLL,SPECIAL ROLLS,Food,Food,50.00,2.0,false
9/29/25 7:57 PM,SAMURAI,SPECIAL ROLLS,Food,Food,22.00,1.0,false
9/29/25 7:57 PM,MAGURO KANI SPECIAL,SPECIAL COLD ROLLS,Food,Food,19.00,1.0,false
9/29/25 8:17 PM,FIRE ROLL,SPECIAL ROLLS,Food,Food,25.00,1.0,false
9/29/25 8:17 PM,ALBARINO GLASS,WHITE GLASS,Beverage,Wine,12.00,1.0,false
9/29/25 8:17 PM,ALBARINO GLASS,WHITE GLASS,Beverage,Wine,12.00,1.0,false
9/29/25 8:21 PM,TARTA VASCA,DESSERTS,Food,Food,19.00,1.0,false
9/29/25 8:48 PM,GINGER KEY LIME PIE,DESSERTS,Food,Food,15.00,1.0,false
